wordnet,wikipedia,source
aa.n.01,AA_battery,BING
aardvark.n.01,aardvark,BABELNET
aardwolf.n.01,aardwolf,BABELNET
aba.n.01,Abaya,BING
abacus.n.01,abacus_(architecture),BABELNET
abalone.n.01,abalone,BABELNET
abandon.n.01,Abandon_(film),BING
abandonment.n.01,Desertion,FERNANDO
abattoir.n.01,slaughterhouse,BABELNET
abbey.n.01,abbey,BABELNET
abbreviation.n.01,abbreviation,BABELNET
abdomen.n.01,abdomen,BABELNET
abdominal.n.01,Rectus_abdominis_muscle,BING
abdominal_aorta.n.01,abdominal_aorta,BABELNET
abdominal_aortic_aneurysm.n.01,abdominal_aortic_aneurysm,BABELNET
abdominal_cavity.n.01,abdominal_cavity,BABELNET
abdominal_wall.n.01,abdominal_wall,BABELNET
abducent.n.01,abducens_nerve,BABELNET
abelian_group.n.01,Abelian_group,BABELNET
abetalipoproteinemia.n.01,abetalipoproteinemia,BABELNET
abhorrence.n.01,abomination_(Bible),BABELNET
abhorrer.n.01,Talk:Time/Archive_1,BING
ability.n.02,Ability,BING
ablation.n.01,ablation,BABELNET
abnegation.n.02,self-denial,BABELNET
abnormality.n.01,abnormality_(behavior),BABELNET
abominable_snowman.n.01,yeti,BABELNET
abort.n.01,abort_(computing),BABELNET
above.n.01,Hermeticism,BING
abrasion.n.02,attrition_(dental),BABELNET
abruptness.n.01,Moto_Guzzi,BING
abscess.n.01,abscess,BABELNET
absence.n.04,The_Absence,BABELNET
absolute_value.n.01,absolute_value,BABELNET
absolution.n.02,absolution,BABELNET
absorbency.n.01,Absorbency,BING
absorption_spectrum.n.01,Absorption_spectroscopy,BABELNET
abstinence.n.01,Abstinence,FERNANDO
abstraction.n.03,abstraction_(mathematics),BABELNET
absurdity.n.02,Absurdity,BING
abundance.n.01,Abundance_of_the_chemical_elements,BING
abuse.n.02,verbal_abuse,BABELNET
abyss.n.01,abyss_(religion),BABELNET
abyssinian.n.01,Abyssinian_cat,BABELNET
acacia.n.01,acacia,BABELNET
academic_department.n.01,academic_department,BABELNET
academic_gown.n.01,Academic_dress,BABELNET
academician.n.03,faculty_(academic_staff),BABELNET
academy.n.02,academy,BABELNET
acantholysis.n.01,Acantholysis,FERNANDO
acaricide.n.01,acaricide,BABELNET
acceleration.n.02,Acceleration,BING
accelerator.n.01,Car_controls,BABELNET
accelerometer.n.01,accelerometer,BABELNET
accessory.n.02,Accessory_nerve,BING
accessory_nerve.n.01,accessory_nerve,BABELNET
accident.n.02,Accident,BING
accompaniment.n.01,Accompaniment,BING
accord.n.02,Honda_Accord,BING
accordion.n.01,piano_accordion,BABELNET
accordionist.n.01,Accordion,BING
accountant.n.01,comptroller,BABELNET
accounting.n.04,Accounting_software,BABELNET
accounting_firm.n.01,Big_Four_accounting_firms,BING
accreditation.n.01,accreditation,BABELNET
accretion.n.01,Accretion_(finance),BING
accuracy.n.01,Accuracy_and_precision,BABELNET
accusation.n.01,Accusation,BING
ace.n.03,superstar,BABELNET
ace_inhibitor.n.01,ACE_inhibitor,BABELNET
acebutolol.n.01,acebutolol,BABELNET
acerate_leaf.n.01,Pinophyta,BABELNET
acetabulum.n.01,acetabulum,BABELNET
acetaldehyde.n.01,acetaldehyde,BABELNET
acetamide.n.01,acetamide,BABELNET
acetaminophen.n.01,Tylenol_(brand),BABELNET
acetate.n.01,acetate,BABELNET
acetic_acid.n.01,acetic_acid,BABELNET
acetic_anhydride.n.01,Acetic_anhydride,FERNANDO
acetone.n.01,acetone,BABELNET
acetyl_chloride.n.01,acetyl_chloride,BABELNET
acetylcholine.n.01,acetylcholine,BABELNET
acetylene.n.01,acetylene,BABELNET
ache.n.01,Headache,BING
achiever.n.01,Enneagram_of_Personality,BABELNET
achilles_tendon.n.01,Achilles_tendon,BABELNET
achira.n.01,Canna_indica,BABELNET
acid.n.02,Acid_(drug),BING
acid_rain.n.01,acid_rain,BABELNET
acinus.n.01,acinus,BABELNET
ackee.n.01,ackee,BABELNET
acme.n.01,Acme_Corporation,BING
acne.n.01,Acne,BING
acorn.n.01,acorn,BABELNET
acorn_squash.n.01,acorn_squash,BABELNET
acoustic_guitar.n.01,acoustic_guitar,BABELNET
acoustic_nerve.n.01,vestibulocochlear_nerve,BABELNET
acoustics.n.01,acoustics,BABELNET
acquaintance.n.01,Knowledge_by_acquaintance,BING
acquiring.n.01,Acquiring_bank,BING
acre.n.01,acre,BABELNET
acridity.n.02,Acid,BING
acromion.n.01,acromion,BABELNET
acronym.n.01,acronym,BABELNET
acrosome.n.01,acrosome,BABELNET
acrylic.n.02,acrylic_resin,BABELNET
acrylic_fiber.n.01,Acrylic_fiber,FERNANDO
act.n.04,ACT_(test),BING
actin.n.01,actin,BABELNET
acting.n.01,acting,BABELNET
actinia.n.02,Beadlet_anemone,BING
actinium.n.01,actinium,BABELNET
actinolite.n.01,actinolite,BABELNET
actinomyces.n.01,actinomyces,BABELNET
action_spectrum.n.01,action_spectrum,BABELNET
active_site.n.01,active_site,BABELNET
active_transport.n.01,active_transport,BABELNET
actor.n.01,actor,BABELNET
actress.n.01,Actor,BING
acupressure.n.01,shiatsu,BABELNET
acupuncture.n.01,acupuncture,BABELNET
acute_accent.n.01,acute_accent,BABELNET
acuteness.n.02,Interpersonal_Influence,BING
ad.n.01,advertising,BABELNET
adagio.n.01,Adagio,BING
adaptation.n.02,adaptation,BABELNET
adder.n.03,Vipera_berus,BABELNET
addict.n.01,Addiction,BING
addiction.n.01,addiction,BABELNET
adding_machine.n.01,adding_machine,BABELNET
addison's_disease.n.01,Adrenal_insufficiency,BABELNET
addition.n.03,Gain,FERNANDO
addle-head.n.01,Addle-head,BING
address.n.01,reference_(computer_science),BABELNET
adelie.n.01,Adélie_penguin,BABELNET
adenine.n.01,adenine,BABELNET
adenosine.n.01,adenosine,BABELNET
adenosine_deaminase.n.01,adenosine_deaminase,BABELNET
adenosine_diphosphate.n.01,adenosine_diphosphate,BABELNET
adenosine_monophosphate.n.01,adenosine_monophosphate,BABELNET
